,ID,Stim,Period,Task,Score,Nback,ResponsTime
0,1,1,0,1,100.0,1,0.5675
1,1,1,0,2,100.0,1,0.498175
2,2,1,0,1,100.0,1,0.5534749999999999
3,2,1,0,2,100.0,1,0.5384
4,3,0,0,1,100.0,1,0.5763499999999999
5,3,0,0,2,100.0,1,0.4857875
6,9,1,0,1,100.0,1,0.69865
7,9,1,0,2,100.0,1,0.744775
8,10,1,0,1,100.0,1,0.4246875
9,10,1,0,2,100.0,1,0.49558750000000007
10,13,0,0,1,100.0,1,0.5584749999999999
11,13,0,0,2,100.0,1,0.576175
12,15,0,0,1,100.0,1,0.4624
13,15,0,0,2,100.0,1,0.44975
14,17,0,0,1,100.0,1,0.7456125
15,17,0,0,2,100.0,1,0.5902875
16,18,1,0,1,100.0,1,0.53525
17,18,1,0,2,100.0,1,0.613975
18,20,0,0,1,100.0,1,0.5062375
19,20,0,0,2,100.0,1,0.470925
20,1,1,0,1,93.33,2,0.6204666666666667
21,1,1,0,2,96.67,2,0.8730142857142857
22,2,1,0,1,93.33,2,0.6071166666666667
23,2,1,0,2,96.67,2,0.6434285714285713
24,3,0,0,1,100.0,2,0.6409
25,3,0,0,2,100.0,2,0.5621625
26,9,1,0,1,93.33,2,0.8012166666666666
27,9,1,0,2,100.0,2,0.7092125
28,10,1,0,1,96.67,2,0.4026428571428572
29,10,1,0,2,100.0,2,0.5133875
30,13,0,0,1,96.67,2,0.7178428571428571
31,13,0,0,2,100.0,2,0.7319625
32,15,0,0,1,86.67,2,0.4293166666666666
33,15,0,0,2,96.67,2,0.41030000000000005
34,17,0,0,1,93.33,2,0.6804000000000001
35,17,0,0,2,96.67,2,0.6596857142857143
36,18,1,0,1,96.67,2,0.4883714285714285
37,18,1,0,2,100.0,2,0.5165875
38,20,0,0,1,93.33,2,0.5144333333333333
39,20,0,0,2,96.67,2,0.6033999999999999
40,1,1,0,1,80.0,3,1.780916666666667
41,1,1,0,2,93.33,3,1.7921166666666668
42,2,1,0,1,93.33,3,1.673225
43,2,1,0,2,90.0,3,1.5343
44,3,0,0,1,76.67,3,1.5530571428571431
45,3,0,0,2,90.0,3,1.5477142857142856
46,9,1,0,1,83.33,3,1.5193
47,9,1,0,2,86.67,3,1.76315
48,10,1,0,1,83.33,3,1.258
49,10,1,0,2,93.33,3,1.514875
50,13,0,0,1,93.33,3,1.73015
51,13,0,0,2,90.0,3,1.17264
52,15,0,0,1,90.0,3,1.44454
53,15,0,0,2,80.0,3,1.049325
54,17,0,0,1,83.33,3,1.5410000000000001
55,17,0,0,2,73.33,3,0.7182500000000002
56,18,1,0,1,90.0,3,1.1003857142857143
57,18,1,0,2,96.67,3,1.3206200000000001
58,20,0,0,1,86.67,3,1.7285499999999996
59,20,0,0,2,96.67,3,1.31142
60,1,0,1,1,100.0,1,0.471625
61,1,0,1,2,96.67,1,0.5475444444444444
62,2,0,1,1,100.0,1,0.642225
63,2,0,1,2,100.0,1,0.5611875
64,3,1,1,1,100.0,1,0.5267
65,3,1,1,2,100.0,1,0.481675
66,9,0,1,1,96.67,1,0.7438666666666667
67,9,0,1,2,100.0,1,0.69885
68,10,0,1,1,100.0,1,0.4304
69,10,0,1,2,100.0,1,0.3888875
70,13,1,1,1,100.0,1,0.595275
71,13,1,1,2,100.0,1,0.6327875000000001
72,15,1,1,1,100.0,1,0.4352375
73,15,1,1,2,100.0,1,0.43356249999999996
74,17,1,1,1,100.0,1,0.6774
75,17,1,1,2,100.0,1,0.6050125
76,18,0,1,1,100.0,1,0.5318375
77,18,0,1,2,100.0,1,0.5512125
78,20,1,1,1,100.0,1,0.482175
79,20,1,1,2,100.0,1,0.44366249999999996
80,1,0,1,1,90.0,2,0.5750714285714286
81,1,0,1,2,100.0,2,0.44648750000000004
82,2,0,1,1,93.33,2,0.56565
83,2,0,1,2,96.67,2,0.5578714285714286
84,3,1,1,1,96.67,2,0.4936571428571429
85,3,1,1,2,93.33,2,0.6517100000000001
86,9,0,1,1,83.33,2,0.6234714285714286
87,9,0,1,2,90.0,2,0.5010399999999999
88,10,0,1,1,96.67,2,0.4742857142857143
89,10,0,1,2,100.0,2,0.4064375
90,13,1,1,1,96.67,2,0.7628571428571428
91,13,1,1,2,100.0,2,0.7916624999999999
92,15,1,1,1,96.67,2,0.6645857142857142
93,15,1,1,2,96.67,2,0.42402222222222213
94,17,1,1,1,93.33,2,0.7443833333333334
95,17,1,1,2,96.67,2,0.6480999999999999
96,18,0,1,1,96.67,2,0.5290142857142858
97,18,0,1,2,100.0,2,0.4938625
98,20,1,1,1,93.33,2,0.6255333333333334
99,20,1,1,2,96.67,2,0.4918857142857143
100,1,0,1,1,76.67,3,1.0236428571428573
101,1,0,1,2,90.0,3,0.9756600000000001
102,2,0,1,1,93.33,3,1.5494249999999998
103,2,0,1,2,93.33,3,1.239175
104,3,1,1,1,80.0,3,0.9844625
105,3,1,1,2,76.67,3,1.668957142857143
106,9,0,1,1,80.0,3,1.83865
107,9,0,1,2,76.67,3,0.70926
108,10,0,1,1,93.33,3,1.51685
109,10,0,1,2,96.67,3,1.4906599999999999
110,13,1,1,1,80.0,3,1.400025
111,13,1,1,2,96.67,3,1.4682600000000001
112,15,1,1,1,86.67,3,1.4991666666666668
113,15,1,1,2,90.0,3,1.5974400000000002
114,17,1,1,1,73.33,3,1.1798000000000002
115,17,1,1,2,86.67,3,1.4471333333333334
116,18,0,1,1,93.33,3,1.228116666666667
117,18,0,1,2,86.67,3,1.456875
118,20,1,1,1,80.0,3,1.4581166666666665
119,20,1,1,2,83.33,3,1.64582
